moisture,temperature,humidity,light,moisture_trend,temperature_trend,humidity_trend,light_trend,label
46.95,21.62,57.11,155.93,-1.3,1.55,3.96,-186.08,attention
42.89,24.15,63.98,808.55,1.18,0.71,-1.85,-10.86,normal
16.39,41.95,14.93,99.93,-13.25,8.98,-8.94,-231.76,critical
24.38,24.67,59.18,714.26,-12.94,-1.95,-0.74,-33.04,attention
47.05,23.66,50.78,738.62,-1.64,-1.78,3.18,54.56,normal
60.37,23.29,58.56,588.47,-3.13,0.02,3.56,-54.8,normal
28.64,29.92,26.4,182.04,-6.52,3.53,2.44,36.28,attention
39.09,26.53,58.85,379.24,1.99,1.49,-1.68,-55.5,normal
64.47,25.55,58.15,494.2,-0.8,0.28,-2.44,6.39,normal
12.08,44.39,17.03,89.88,-11.26,10.19,-9.1,-231.32,critical
47.47,27.6,50.98,266.22,2.66,-1.01,-3.26,20.84,normal
49.49,20.35,63.0,808.79,0.42,1.66,1.93,-9.68,normal
42.74,22.98,46.02,636.05,1.11,-0.3,-2.0,41.44,normal
60.41,20.38,49.32,472.3,-3.3,-1.78,2.35,6.97,normal
45.92,34.82,62.25,801.51,-3.26,4.31,-1.79,-59.57,attention
45.46,25.24,45.99,342.52,-0.93,0.35,-2.66,38.86,normal
62.2,24.53,40.81,589.05,-0.43,-1.28,3.59,19.13,normal
40.21,23.54,58.17,157.32,3.91,0.72,-3.05,-42.38,attention
40.95,25.53,50.13,471.74,-2.97,0.62,-3.2,14.34,normal
53.83,24.75,53.31,651.24,0.7,-0.61,2.76,14.08,normal
42.09,22.52,59.13,609.26,3.68,-1.42,1.42,49.7,normal
60.66,25.21,56.68,515.36,1.37,-0.51,3.2,-5.82,normal
12.81,26.85,42.0,389.77,-13.39,0.47,-2.75,-47.2,critical
23.92,23.88,54.61,297.59,-6.42,1.39,3.56,20.19,attention
10.91,19.79,50.46,462.28,-24.0,0.98,-3.86,-11.59,critical
25.54,33.76,25.99,241.02,-5.62,3.43,3.92,-23.35,attention
44.42,22.73,45.6,558.19,-3.5,1.33,-0.88,32.38,normal
56.07,26.4,51.82,136.66,-3.36,0.64,-1.55,-140.1,attention
60.69,21.05,37.77,507.75,0.18,1.86,1.5,52.36,normal
53.78,23.57,27.1,614.66,-0.88,-0.12,-8.79,57.72,attention
52.95,22.98,37.5,430.92,-2.95,-0.85,3.05,-1.83,normal
41.9,19.54,63.74,96.81,1.36,-0.36,2.99,-146.95,critical
